Date,AAPL,MSFT,NVDA,AMZN,TSLA
9/1/2023,186.9317169,321.1384277,48.41468048,138.1199951,245.0099945
9/5/2023,187.1685181,325.9164429,48.45359421,137.2700043,256.4899902
9/6/2023,180.4691467,325.2618408,46.97335815,135.3600006,251.9199982
9/7/2023,175.1905518,322.3598633,46.15489578,137.8500061,251.4900055
9/8/2023,175.8022461,326.6200562,45.48714066,138.2299957,248.5
9/11/2023,176.9665375,330.2059937,45.09388351,143.1000061,273.5799866
9/12/2023,173.9473419,324.1772461,44.78644943,141.2299957,267.480011
9/13/2023,171.8852386,328.3690796,45.40030289,144.8500061,271.2999878
9/14/2023,173.3948212,330.9486389,45.49612808,144.7200012,276.0400085
9/15/2023,172.6745605,322.6627197,43.81825256,140.3899994,274.3900146
9/18/2023,175.595047,321.5292358,43.88412857,139.9799957,265.2799988
9/19/2023,176.6803741,321.1286621,43.43896866,137.6300049,266.5
9/20/2023,173.1481628,313.4290161,42.16034317,135.2899933,262.5899963
9/21/2023,171.6089478,312.2173767,40.94062042,129.3300018,255.6999969
9/22/2023,172.4574738,309.7550964,41.53251648,129.1199951,244.8800049
9/25/2023,173.7302856,310.2729797,42.14338303,131.2700043,246.9900055
9/26/2023,169.6652832,304.996521,41.83296204,125.9800034,244.1199951
9/27/2023,168.1556549,305.6316833,42.38892365,125.9800034,240.5
9/28/2023,168.4122162,306.4621277,43.00876999,125.9800034,246.3800049
9/29/2023,168.9252777,308.5238342,43.41799927,127.1200027,250.2200012
10/2/2023,171.4313812,314.4353943,44.69861221,129.4600067,251.6000061
10/3/2023,170.099411,306.217926,43.43596649,124.7200012,246.5299988
10/4/2023,171.3425598,311.6604004,43.958992,127,261.1600037
10/5/2023,172.575882,312.0512085,44.60478592,125.9599991,260.0499878
10/6/2023,175.1214752,319.7704773,45.6767807,127.9599991,260.5299988
10/9/2023,176.6014404,322.2719116,45.188694,128.2599945,259.6700134
10/10/2023,176.0094757,320.8745728,45.71271896,129.4799957,263.6199951
10/11/2023,177.4006348,324.8124695,46.71884155,131.8300018,262.9899902
10/12/2023,178.2985077,323.5812378,46.85758972,132.3300018,258.8699951
10/13/2023,176.4633026,320.2297363,45.37634659,129.7899933,251.1199951
